login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
awslabs,awslabs/amazon-emr-on-eks-custom-image-cli,2021-08-19T21:29:35Z,25,25,Python,True,True,apache-2.0
awslabs,awslabs/amazon-emr-serverless-image-cli,2022-12-09T20:45:52Z,3,3,Python,True,True,apache-2.0
awslabs,awslabs/amazon-emr-user-role-mapper,2020-07-16T22:52:22Z,20,20,Java,True,True,apache-2.0
awslabs,awslabs/amazon-emr-vscode-toolkit,2022-09-06T17:34:40Z,29,29,TypeScript,True,False,apache-2.0
awslabs,awslabs/amazon-guardduty-tester,2018-02-02T17:53:07Z,340,340,TypeScript,True,False,apache-2.0
awslabs,awslabs/amazon-inspector-agent-autodeploy,2016-08-16T20:43:58Z,28,28,Python,True,False,apache-2.0
awslabs,awslabs/amazon-inspector-auto-remediate,2016-07-29T16:55:11Z,57,57,Python,True,False,apache-2.0
awslabs,awslabs/amazon-inspector-finding-forwarder,2016-07-16T02:36:58Z,39,39,Python,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-agent,2015-10-09T22:14:48Z,357,357,Java,True,False,other
awslabs,awslabs/amazon-kinesis-aggregators,2014-10-01T23:43:30Z,151,151,Java,True,False,other
awslabs,awslabs/amazon-kinesis-archiver,2015-09-17T08:28:36Z,31,31,JavaScript,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-client,2013-11-07T19:02:44Z,644,644,Java,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-client-net,2015-04-17T16:54:14Z,62,62,C#,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-client-nodejs,2015-03-10T23:35:26Z,297,297,JavaScript,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-client-python,2014-10-21T18:14:44Z,369,369,Python,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-client-ruby,2014-12-06T00:16:53Z,146,146,Ruby,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-connector-flink,2020-09-30T18:29:21Z,21,21,Java,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-connector-flink-state-migrator,2024-03-13T06:34:16Z,1,1,Java,True,True,apache-2.0
awslabs,awslabs/amazon-kinesis-data-generator,2017-03-29T19:36:09Z,200,200,JavaScript,True,False,apache-2.0
awslabs,awslabs/amazon-kinesis-producer,2015-05-26T20:37:52Z,399,399,C++,True,False,apache-2.0
