login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
vczh,vczh/asm-dom,2020-10-07T16:45:01Z,1,1,,True,True,other
vczh,vczh/Dark-Souls-III-Cheat-Engine-Guide,2018-01-22T14:29:35Z,3,3,AutoIt,True,True,
vczh,vczh/Elden-Ring-CT-TGA,2022-03-13T00:55:08Z,0,0,C,True,True,
vczh,vczh/gac,2012-05-28T11:31:39Z,471,471,,True,True,ms-pl
vczh,vczh/GacUIBlog,2021-05-26T08:45:25Z,373,373,C++,True,True,cc0-1.0
vczh,vczh/herodb,2014-09-23T09:29:54Z,199,199,C++,True,True,apache-2.0
vczh,vczh/ScreenToGif,2018-02-03T08:07:19Z,22,22,C#,True,True,ms-pl
vczh,vczh/tabler-icons,2023-02-11T06:42:57Z,1,1,HTML,True,False,mit
vczh,vczh/tinymoe,2013-12-24T14:41:18Z,924,924,C++,True,True,
vczh,vczh/vcpkg,2022-09-16T07:54:38Z,1,1,,True,True,other
vczh,vczh/vczh_toys,2014-03-27T07:29:36Z,1082,1082,C++,True,True,apache-2.0
vczh,vczh/WebsitePlayground,2019-09-10T08:55:37Z,15,15,TypeScript,True,True,apache-2.0
bradfitz,bradfitz/2014-talks,2014-04-26T17:55:05Z,0,0,Objective-C,True,True,cc0-1.0
bradfitz,bradfitz/Adv360-Pro-ZMK,2023-11-10T16:57:08Z,1,1,Makefile,True,True,mit
bradfitz,bradfitz/android-garage-opener,2008-11-16T19:33:09Z,83,83,Java,True,True,apache-2.0
bradfitz,bradfitz/android-squeezer,2009-08-11T21:09:54Z,34,34,Java,True,False,
bradfitz,bradfitz/aoc,2023-12-01T03:43:58Z,7,7,Go,True,True,
bradfitz,bradfitz/art,2020-07-17T03:51:38Z,57,57,Go,True,True,mit
bradfitz,bradfitz/autocertdelegate,2019-12-25T04:28:47Z,247,247,Go,True,True,bsd-3-clause
bradfitz,bradfitz/barlogalights,2023-04-01T04:06:29Z,3,3,Go,True,True,
bradfitz,bradfitz/batt,2012-04-18T02:56:39Z,7,7,Go,True,True,
bradfitz,bradfitz/brackup-gae-server,2009-12-16T02:04:48Z,6,6,Python,True,True,
bradfitz,bradfitz/campher,2011-05-07T15:43:37Z,137,137,Go,True,False,
bradfitz,bradfitz/candysim,2021-11-29T01:44:06Z,10,10,Go,True,True,bsd-3-clause
bradfitz,bradfitz/ceph,2018-07-03T02:07:39Z,2,2,C++,True,False,other
bradfitz,bradfitz/contributing,2010-03-14T17:09:04Z,45,45,Python,True,True,
bradfitz,bradfitz/cue,2021-05-03T02:45:05Z,1,1,,True,True,apache-2.0
bradfitz,bradfitz/deadbeef,2014-04-06T19:17:12Z,111,111,,True,True,
bradfitz,bradfitz/democgoalloc,2023-03-20T18:00:33Z,2,2,Go,True,True,
bradfitz,bradfitz/deppath,2023-07-20T15:39:22Z,5,5,Go,True,True,bsd-2-clause
bradfitz,bradfitz/developers.home-assistant,2018-06-19T02:19:25Z,0,0,JavaScript,True,True,other
bradfitz,bradfitz/dhcp,2022-12-13T16:54:55Z,0,0,,True,True,bsd-3-clause
bradfitz,bradfitz/eight22er,2012-07-17T22:57:18Z,6,6,Go,True,True,
bradfitz,bradfitz/embiggen-disk,2018-07-27T19:25:51Z,474,474,Go,True,True,other
bradfitz,bradfitz/exp-httpclient,2018-09-10T16:14:09Z,584,584,Go,False,False,
bradfitz,bradfitz/fbstatus,2023-04-03T22:32:52Z,0,0,,True,False,apache-2.0
bradfitz,bradfitz/fotobilder-spiegel,2010-12-01T01:41:03Z,2,2,Go,True,True,bsd-2-clause
bradfitz,bradfitz/fswebcam,2024-01-10T19:22:32Z,1,1,,True,True,gpl-2.0
bradfitz,bradfitz/fw-test-agent,2023-12-09T16:10:34Z,5,5,Go,True,True,
bradfitz,bradfitz/gce,2014-08-01T22:58:44Z,13,13,Go,True,True,other
bradfitz,bradfitz/gitbrute,2014-04-06T19:36:50Z,383,383,Go,True,True,
bradfitz,bradfitz/gitutil,2014-12-30T03:47:08Z,49,49,Go,True,True,bsd-3-clause
bradfitz,bradfitz/go,2019-11-08T02:54:47Z,3,3,,True,True,bsd-3-clause
bradfitz,bradfitz/go-bluesky,2023-04-29T15:49:15Z,0,0,,True,True,bsd-3-clause
bradfitz,bradfitz/go-car,2023-05-04T03:38:38Z,0,0,,True,False,other
bradfitz,bradfitz/go-cmp,2019-10-28T17:15:35Z,2,2,Go,True,True,bsd-3-clause
bradfitz,bradfitz/go-get-proxy,2012-04-03T18:52:54Z,13,13,Go,True,True,
bradfitz,bradfitz/go-github,2017-03-16T04:43:16Z,0,0,Go,True,False,other
bradfitz,bradfitz/go-issue-mirror,2016-08-08T22:36:33Z,24,24,,True,True,
bradfitz,bradfitz/go-mirror-test,2016-07-16T21:48:49Z,0,0,Go,True,True,bsd-3-clause
bradfitz,bradfitz/go-mod-archiver-test,2021-05-24T17:24:22Z,4,4,Go,True,True,
bradfitz,bradfitz/go-runas,2011-04-22T18:43:07Z,12,12,Go,True,True,
bradfitz,bradfitz/go-smtpd,2012-07-17T23:21:00Z,212,212,Go,True,True,bsd-3-clause
bradfitz,bradfitz/go-sql-test,2012-01-11T21:39:49Z,132,132,Go,True,True,
bradfitz,bradfitz/go-test-bug-repro,2023-05-04T18:07:57Z,1,1,Go,True,True,
bradfitz,bradfitz/go-tool-cache,2023-04-24T20:19:52Z,88,88,Go,True,True,bsd-3-clause
bradfitz,bradfitz/go4,2016-02-07T22:35:06Z,20,20,Go,True,True,apache-2.0
bradfitz,bradfitz/goimports,2013-06-01T13:08:45Z,1033,1033,Go,True,False,bsd-3-clause
bradfitz,bradfitz/gokrazy,2023-04-04T03:54:26Z,0,0,,True,False,bsd-3-clause
bradfitz,bradfitz/gokrazy-tools,2023-04-04T04:01:04Z,0,0,,True,False,bsd-3-clause
bradfitz,bradfitz/gokrazy-wifi,2023-04-02T18:43:20Z,0,0,Go,True,False,other
bradfitz,bradfitz/goman,2010-12-19T02:44:58Z,24,24,Go,True,True,
bradfitz,bradfitz/gomemcache,2011-06-28T19:29:12Z,1754,1754,Go,True,True,apache-2.0
bradfitz,bradfitz/google-api-go-client,2020-07-14T15:20:07Z,1,1,,True,False,bsd-3-clause
bradfitz,bradfitz/gopickgo,2024-04-06T23:02:08Z,7,7,Go,True,True,bsd-2-clause
bradfitz,bradfitz/gotools,2020-03-02T22:30:09Z,0,0,,True,False,bsd-3-clause
bradfitz,bradfitz/gotsync,2010-05-02T21:37:29Z,15,15,Go,True,True,bsd-3-clause
bradfitz,bradfitz/govmomi,2016-08-26T23:44:02Z,1,1,Go,True,True,apache-2.0
bradfitz,bradfitz/grpc-go,2016-01-28T19:27:03Z,15,15,Go,True,False,bsd-3-clause
bradfitz,bradfitz/grpc-go16-demo,2016-01-09T21:55:07Z,14,14,Protocol Buffer,True,True,
bradfitz,bradfitz/gvisor,2021-11-01T15:15:16Z,4,4,,True,False,apache-2.0
bradfitz,bradfitz/h2slam,2022-03-24T18:17:42Z,29,29,Go,True,True,
bradfitz,bradfitz/homelab,2018-07-02T16:43:07Z,1891,1891,,True,True,
bradfitz,bradfitz/http2,2014-07-15T21:31:33Z,1716,1716,Go,True,True,other
bradfitz,bradfitz/hubbub-hub,2009-06-21T16:05:29Z,18,18,Perl,True,True,
bradfitz,bradfitz/inboxfewer,2015-11-13T16:00:45Z,56,56,Go,True,True,bsd-3-clause
bradfitz,bradfitz/indigo,2023-04-27T16:39:53Z,0,0,,True,False,other
bradfitz,bradfitz/ip2asn,2020-05-06T16:04:31Z,20,20,Go,True,True,bsd-3-clause
bradfitz,bradfitz/issue-tracker-behaviors,2023-07-08T15:53:31Z,641,641,,True,True,
bradfitz,bradfitz/issue735583,2021-10-23T17:46:16Z,3,3,Go,True,True,
bradfitz,bradfitz/issuemirror,2016-08-09T18:21:39Z,4,4,Go,True,True,bsd-3-clause
bradfitz,bradfitz/iter,2014-01-24T04:11:58Z,296,296,Go,True,True,bsd-3-clause
bradfitz,bradfitz/jndi,2021-12-11T04:14:34Z,268,268,Go,True,True,
bradfitz,bradfitz/k9sms,2008-12-14T20:31:33Z,3,3,,True,True,
bradfitz,bradfitz/latlong,2014-07-08T21:12:16Z,384,384,Go,True,True,apache-2.0
bradfitz,bradfitz/lesser,2020-06-14T23:28:30Z,78,78,Go,True,True,bsd-3-clause
bradfitz,bradfitz/lingobingo,2023-05-26T19:48:54Z,7,7,Go,True,True,
bradfitz,bradfitz/litecmp,2020-12-18T17:18:43Z,18,18,Go,True,True,bsd-3-clause
bradfitz,bradfitz/livejournal,2018-03-01T21:55:07Z,1,1,Perl,True,True,other
bradfitz,bradfitz/LogJam,2021-10-02T05:26:17Z,0,0,,True,True,gpl-2.0
bradfitz,bradfitz/macdriver,2021-04-14T00:53:51Z,1,1,,True,True,mit
bradfitz,bradfitz/memcached,2008-10-15T04:06:02Z,9,9,C,True,True,bsd-3-clause
